State name,Confirmed,Active,Recovered,Deaths,Lat,Long
Andaman and Nicobar,47,11,36,0
Andhra Pradesh,8452,4240,4111,101
Arunachal Pradesh,135,121,14,0
Assam,4904,1856,3039,9
Bihar,7533,1952,5529,52
Chandigarh,404,82,316,6
Chhattisgarh,2041,636,1394,11
Dadra and Nagar Haveli,68,42,26,0
Daman and Diu,0,0,0,0
Delhi,56746,23340,31294,2112
Goa,754,625,129,0
Gujarat,26680,6348,18694,1638
Haryana,10223,4946,5128,149
Himachal Pradesh,656,235,413,8
Jammu and Kashmir,5834,2417,3336,81
Jharkhand,1965,619,1335,11
Karnataka,8697,3174,5391,132
Kerala,3039,1450,1568,21
Ladakh,836,718,117,1
Lakshadweep,0,0,0,0
Maharashtra,128205,58068,64153,5984
Manipur,777,545,232,0
Meghalaya,44,10,33,1
Mizoram,140,131,9,0
Madhya Pradesh,11724,2343,8880,501
Nagaland,201,63,138,0
Odisha,4856,1310,3534,12
Puducherry,286,161,118,7
Punjab,3952,1176,2678,98
Rajasthan,14536,2925,11274,337
Sikkim,70,45,25,0
Tamil Nadu,56845,24825,31316,704
Telengana,7072,3363,3506,203
Tripura,1186,505,680,1
Uttar Pradesh,16594,6092,9995,507
Uttarakhand,2301,824,1450,27
West Bengal,13531,5126,7865,540
