Entity,Code,Date,Total confirmed cases of COVID-19 (cases)
India,IND,"Dec 31, 2019",0
India,IND,"Jan 1, 2020",0
India,IND,"Jan 2, 2020",0
India,IND,"Jan 3, 2020",0
India,IND,"Jan 4, 2020",0
India,IND,"Jan 5, 2020",0
India,IND,"Jan 6, 2020",0
India,IND,"Jan 7, 2020",0
India,IND,"Jan 8, 2020",0
India,IND,"Jan 9, 2020",0
India,IND,"Jan 10, 2020",0
India,IND,"Jan 11, 2020",0
India,IND,"Jan 12, 2020",0
India,IND,"Jan 13, 2020",0
India,IND,"Jan 14, 2020",0
India,IND,"Jan 15, 2020",0
India,IND,"Jan 16, 2020",0
India,IND,"Jan 17, 2020",0
India,IND,"Jan 18, 2020",0
India,IND,"Jan 19, 2020",0
India,IND,"Jan 20, 2020",0
India,IND,"Jan 21, 2020",0
India,IND,"Jan 22, 2020",0
India,IND,"Jan 23, 2020",0
India,IND,"Jan 24, 2020",0
India,IND,"Jan 25, 2020",0
India,IND,"Jan 26, 2020",0
India,IND,"Jan 27, 2020",0
India,IND,"Jan 28, 2020",0
India,IND,"Jan 29, 2020",0
India,IND,"Jan 30, 2020",1
India,IND,"Jan 31, 2020",1
India,IND,"Feb 1, 2020",1
India,IND,"Feb 2, 2020",2
India,IND,"Feb 3, 2020",2
India,IND,"Feb 4, 2020",3
India,IND,"Feb 5, 2020",3
India,IND,"Feb 6, 2020",3
India,IND,"Feb 7, 2020",3
India,IND,"Feb 8, 2020",3
India,IND,"Feb 9, 2020",3
India,IND,"Feb 10, 2020",3
India,IND,"Feb 11, 2020",3
India,IND,"Feb 12, 2020",3
India,IND,"Feb 13, 2020",3
India,IND,"Feb 14, 2020",3
India,IND,"Feb 15, 2020",3
India,IND,"Feb 16, 2020",3
India,IND,"Feb 17, 2020",3
India,IND,"Feb 18, 2020",3
India,IND,"Feb 19, 2020",3
India,IND,"Feb 20, 2020",3
India,IND,"Feb 21, 2020",3
India,IND,"Feb 22, 2020",3
India,IND,"Feb 23, 2020",3
India,IND,"Feb 24, 2020",3
India,IND,"Feb 25, 2020",3
India,IND,"Feb 26, 2020",3
India,IND,"Feb 27, 2020",3
India,IND,"Feb 28, 2020",3
India,IND,"Feb 29, 2020",3
India,IND,"Mar 1, 2020",3
India,IND,"Mar 2, 2020",3
India,IND,"Mar 3, 2020",5
India,IND,"Mar 4, 2020",6
India,IND,"Mar 5, 2020",28
India,IND,"Mar 6, 2020",29
India,IND,"Mar 7, 2020",31
India,IND,"Mar 8, 2020",34
India,IND,"Mar 10, 2020",44
India,IND,"Mar 11, 2020",50
India,IND,"Mar 12, 2020",73
India,IND,"Mar 13, 2020",75
India,IND,"Mar 14, 2020",83
India,IND,"Mar 15, 2020",90
India,IND,"Mar 16, 2020",93
India,IND,"Mar 17, 2020",125
India,IND,"Mar 18, 2020",137
India,IND,"Mar 19, 2020",165
India,IND,"Mar 20, 2020",191
India,IND,"Mar 21, 2020",231
India,IND,"Mar 22, 2020",320
India,IND,"Mar 23, 2020",439
India,IND,"Mar 24, 2020",492
India,IND,"Mar 25, 2020",562
India,IND,"Mar 26, 2020",649
India,IND,"Mar 27, 2020",724
India,IND,"Mar 28, 2020",873
India,IND,"Mar 29, 2020",979
India,IND,"Mar 30, 2020",1071
India,IND,"Mar 31, 2020",1251
India,IND,"Apr 1, 2020",1397
India,IND,"Apr 2, 2020",1965
India,IND,"Apr 3, 2020",2301
India,IND,"Apr 4, 2020",2902
India,IND,"Apr 5, 2020",3374
India,IND,"Apr 6, 2020",4067
India,IND,"Apr 7, 2020",4421
India,IND,"Apr 8, 2020",5194
India,IND,"Apr 9, 2020",5734
India,IND,"Apr 10, 2020",6412
India,IND,"Apr 11, 2020",7447
India,IND,"Apr 12, 2020",8356
India,IND,"Apr 13, 2020",9152
India,IND,"Apr 14, 2020",10363
India,IND,"Apr 15, 2020",11438
India,IND,"Apr 16, 2020",12380
India,IND,"Apr 17, 2020",13387
India,IND,"Apr 18, 2020",14378
India,IND,"Apr 19, 2020",15712
India,IND,"Apr 20, 2020",17265
India,IND,"Apr 21, 2020",18600
India,IND,"Apr 22, 2020",19984
India,IND,"Apr 23, 2020",21393
India,IND,"Apr 24, 2020",23077
India,IND,"Apr 25, 2020",24506
India,IND,"Apr 26, 2020",26496
India,IND,"Apr 27, 2020",27892
India,IND,"Apr 28, 2020",29435
India,IND,"Apr 29, 2020",31332
India,IND,"Apr 30, 2020",33050
India,IND,"May 1, 2020",35043
India,IND,"May 2, 2020",37336
India,IND,"May 3, 2020",39980
India,IND,"May 4, 2020",42533
India,IND,"May 5, 2020",46433
India,IND,"May 6, 2020",49391
India,IND,"May 7, 2020",52952
India,IND,"May 8, 2020",56342
India,IND,"May 9, 2020",59662
India,IND,"May 10, 2020",62939
India,IND,"May 11, 2020",67152
India,IND,"May 12, 2020",70756
India,IND,"May 13, 2020",74281
India,IND,"May 14, 2020",78003
India,IND,"May 15, 2020",81970
India,IND,"May 16, 2020",85940
India,IND,"May 17, 2020",90927
India,IND,"May 18, 2020",96169
India,IND,"May 19, 2020",101139
India,IND,"May 20, 2020",106750
India,IND,"May 21, 2020",112359
India,IND,"May 22, 2020",118447
India,IND,"May 23, 2020",125101
India,IND,"May 24, 2020",131868
India,IND,"May 25, 2020",138845
India,IND,"May 26, 2020",145380
India,IND,"May 27, 2020",151767
India,IND,"May 28, 2020",158333
India,IND,"May 29, 2020",165799
India,IND,"May 30, 2020",173763
India,IND,"May 31, 2020",182143
India,IND,"Jun 1, 2020",190535
India,IND,"Jun 2, 2020",198706
India,IND,"Jun 3, 2020",207615
India,IND,"Jun 4, 2020",216919
India,IND,"Jun 5, 2020",226770
India,IND,"Jun 6, 2020",236657
India,IND,"Jun 7, 2020",246628
