Entity,Code,Date,Daily confirmed deaths (deaths)
India,IND,"Dec 31, 2019",0
India,IND,"Jan 1, 2020",0
India,IND,"Jan 2, 2020",0
India,IND,"Jan 3, 2020",0
India,IND,"Jan 4, 2020",0
India,IND,"Jan 5, 2020",0
India,IND,"Jan 6, 2020",0
India,IND,"Jan 7, 2020",0
India,IND,"Jan 8, 2020",0
India,IND,"Jan 9, 2020",0
India,IND,"Jan 10, 2020",0
India,IND,"Jan 11, 2020",0
India,IND,"Jan 12, 2020",0
India,IND,"Jan 13, 2020",0
India,IND,"Jan 14, 2020",0
India,IND,"Jan 15, 2020",0
India,IND,"Jan 16, 2020",0
India,IND,"Jan 17, 2020",0
India,IND,"Jan 18, 2020",0
India,IND,"Jan 19, 2020",0
India,IND,"Jan 20, 2020",0
India,IND,"Jan 21, 2020",0
India,IND,"Jan 22, 2020",0
India,IND,"Jan 23, 2020",0
India,IND,"Jan 24, 2020",0
India,IND,"Jan 25, 2020",0
India,IND,"Jan 26, 2020",0
India,IND,"Jan 27, 2020",0
India,IND,"Jan 28, 2020",0
India,IND,"Jan 29, 2020",0
India,IND,"Jan 30, 2020",0
India,IND,"Jan 31, 2020",0
India,IND,"Feb 1, 2020",0
India,IND,"Feb 2, 2020",0
India,IND,"Feb 3, 2020",0
India,IND,"Feb 4, 2020",0
India,IND,"Feb 5, 2020",0
India,IND,"Feb 6, 2020",0
India,IND,"Feb 7, 2020",0
India,IND,"Feb 8, 2020",0
India,IND,"Feb 9, 2020",0
India,IND,"Feb 10, 2020",0
India,IND,"Feb 11, 2020",0
India,IND,"Feb 12, 2020",0
India,IND,"Feb 13, 2020",0
India,IND,"Feb 14, 2020",0
India,IND,"Feb 15, 2020",0
India,IND,"Feb 16, 2020",0
India,IND,"Feb 17, 2020",0
India,IND,"Feb 18, 2020",0
India,IND,"Feb 19, 2020",0
India,IND,"Feb 20, 2020",0
India,IND,"Feb 21, 2020",0
India,IND,"Feb 22, 2020",0
India,IND,"Feb 23, 2020",0
India,IND,"Feb 24, 2020",0
India,IND,"Feb 25, 2020",0
India,IND,"Feb 26, 2020",0
India,IND,"Feb 27, 2020",0
India,IND,"Feb 28, 2020",0
India,IND,"Feb 29, 2020",0
India,IND,"Mar 1, 2020",0
India,IND,"Mar 2, 2020",0
India,IND,"Mar 3, 2020",0
India,IND,"Mar 4, 2020",0
India,IND,"Mar 5, 2020",0
India,IND,"Mar 6, 2020",0
India,IND,"Mar 7, 2020",0
India,IND,"Mar 8, 2020",0
India,IND,"Mar 10, 2020",0
India,IND,"Mar 11, 2020",0
India,IND,"Mar 12, 2020",0
India,IND,"Mar 13, 2020",1
India,IND,"Mar 14, 2020",1
India,IND,"Mar 15, 2020",0
India,IND,"Mar 16, 2020",0
India,IND,"Mar 17, 2020",1
India,IND,"Mar 18, 2020",0
India,IND,"Mar 19, 2020",0
India,IND,"Mar 20, 2020",1
India,IND,"Mar 21, 2020",0
India,IND,"Mar 22, 2020",0
India,IND,"Mar 23, 2020",3
India,IND,"Mar 24, 2020",2
India,IND,"Mar 25, 2020",0
India,IND,"Mar 26, 2020",4
India,IND,"Mar 27, 2020",4
India,IND,"Mar 28, 2020",2
India,IND,"Mar 29, 2020",6
India,IND,"Mar 30, 2020",4
India,IND,"Mar 31, 2020",3
India,IND,"Apr 1, 2020",3
India,IND,"Apr 2, 2020",15
India,IND,"Apr 3, 2020",6
India,IND,"Apr 4, 2020",12
India,IND,"Apr 5, 2020",9
India,IND,"Apr 6, 2020",32
India,IND,"Apr 7, 2020",5
India,IND,"Apr 8, 2020",35
India,IND,"Apr 9, 2020",17
India,IND,"Apr 10, 2020",33
India,IND,"Apr 11, 2020",40
India,IND,"Apr 12, 2020",34
India,IND,"Apr 13, 2020",35
India,IND,"Apr 14, 2020",31
India,IND,"Apr 15, 2020",38
India,IND,"Apr 16, 2020",37
India,IND,"Apr 17, 2020",23
India,IND,"Apr 18, 2020",43
India,IND,"Apr 19, 2020",27
India,IND,"Apr 20, 2020",36
India,IND,"Apr 21, 2020",47
India,IND,"Apr 22, 2020",50
India,IND,"Apr 23, 2020",41
India,IND,"Apr 24, 2020",37
India,IND,"Apr 25, 2020",57
India,IND,"Apr 26, 2020",49
India,IND,"Apr 27, 2020",48
India,IND,"Apr 28, 2020",62
India,IND,"Apr 29, 2020",73
India,IND,"Apr 30, 2020",67
India,IND,"May 1, 2020",73
India,IND,"May 2, 2020",71
India,IND,"May 3, 2020",83
India,IND,"May 4, 2020",72
India,IND,"May 5, 2020",195
India,IND,"May 6, 2020",126
India,IND,"May 7, 2020",89
India,IND,"May 8, 2020",103
India,IND,"May 9, 2020",95
India,IND,"May 10, 2020",128
India,IND,"May 11, 2020",97
India,IND,"May 12, 2020",87
India,IND,"May 13, 2020",122
India,IND,"May 14, 2020",134
India,IND,"May 15, 2020",100
India,IND,"May 16, 2020",103
India,IND,"May 17, 2020",120
India,IND,"May 18, 2020",157
India,IND,"May 19, 2020",134
India,IND,"May 20, 2020",140
India,IND,"May 21, 2020",132
India,IND,"May 22, 2020",148
India,IND,"May 23, 2020",137
India,IND,"May 24, 2020",147
India,IND,"May 25, 2020",154
India,IND,"May 26, 2020",146
India,IND,"May 27, 2020",170
India,IND,"May 28, 2020",194
India,IND,"May 29, 2020",175
India,IND,"May 30, 2020",265
India,IND,"May 31, 2020",193
India,IND,"Jun 1, 2020",230
India,IND,"Jun 2, 2020",204
India,IND,"Jun 3, 2020",217
India,IND,"Jun 4, 2020",260
India,IND,"Jun 5, 2020",273
India,IND,"Jun 6, 2020",294
India,IND,"Jun 7, 2020",287
India,IND,"Jun 8, 2020",206
India,IND,"Jun 9, 2020",331
India,IND,"Jun 10, 2020",279
